Concepto;Sub concepto;Año_Recaudo;Mes; Monto 
Impuestos Sobre La Renta De Las Personas Físicas  ;Impuesto S/Renta de las Personas Físicas Ley 11-92;2017;Enero; 57,913,505.26 
Impuestos Sobre La Renta De Las Personas Físicas  ;Impuesto S/Renta de los Salarios Ley 11-92;2017;Enero; 3,458,831,161.69 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Prestación Serv. Grales.;2017;Enero; 362,461,947.02 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención sobre Premios;2017;Enero; 39,516,862.05 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Alquileres y Arrendamientos;2017;Enero; 65,886,759.99 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Retribuciones Complementarias;2017;Enero; 169,836,828.59 
Impuestos Sobre La Renta De Las Personas Físicas  ;Retención Intereses Personas Físicas;2017;Enero; 336,250,031.75 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto S/Renta de las Empresas Ley 11-92;2017;Enero; 5,488,065,751.77 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Mínimo Anual Minero;2017;Enero; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto S/Utilidades Mineras (PUN);2017;Enero; 3,030,589,536.78 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Sobre Ventas Zonas Francas Ley 139-11;2017;Enero; 32,091,388.80 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Sobre Ventas Zonas Francas Comerciales;2017;Enero; 54,541,939.58 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto Casinos de Juego;2017;Enero; 19,191,700.00 
Impuestos De Las Empresas Y Otras Corporaciones ;Impuesto por Juegos Telefónicos;2017;Enero; 3,681,697.01 
Impuestos De Las Empresas Y Otras Corporaciones ;Hipodromos;2017;Enero; -   
Impuestos De Las Empresas Y Otras Corporaciones ;Retención de 1%S/ Ganancias de Capital (Ley 139-11);2017;Enero; 5,965,863.37 
Impuestos De Las Empresas Y Otras Corporaciones ;Retención Intereses Personas Jurídicas;2017;Enero; 12,752,009.51 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Dividendos;2017;Enero; 772,554,357.02 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Intereses Pagados o Acreditados en el Exterior;2017;Enero; 118,047,773.22 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Pagos al Exterior en General;2017;Enero; 966,636,319.84 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Imp S/Ventas de Bancas (Lotería y Deportivas);2017;Enero; 19,820,994.11 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Impuesto sobre Maq Tragamonedas;2017;Enero; 55,418,036.77 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Provisión de Bs. y Ss. Al Estado;2017;Enero; 419,092,366.07 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Otras Retenciones;2017;Enero; 94,700,036.20 
Impuestos S/ Los Ingresos Aplicados Sin Distinción De Persona ;Otros;2017;Enero; 71,081,330.52 
Accesorios Sobre Los Impuestos A Los Ingresos ;Accesorios Sobre los Impuestos a los Ingresos;2017;Enero; 82,063,140.40 
Impuestos Sobre La Propiedad ;Operaciones Inmobiliarias;2017;Enero; 363,931,152.20 
