Concepto;Sub concepto;Año_Recaudo;Mes;Monto
Impuestos Sobre la Renta de las Personas Físicas ;  - Impuesto S/Renta de las Personas Físicas Ley 11-92;2020;Enero;79161332.67
Impuestos Sobre la Renta de las Personas Físicas ;  - Impuesto S/Renta de los Salarios Ley 11-92;2020;Enero;5529875760
Impuestos Sobre la Renta de las Personas Físicas ;  - Retención Prestación Serv. Grales.;2020;Enero;493839761.4
Impuestos Sobre la Renta de las Personas Físicas ;  - Retención sobre Premios;2020;Enero;70369959.4
Impuestos Sobre la Renta de las Personas Físicas ;  - Retención Alquileres y Arrendamientos;2020;Enero;284550829.3
Impuestos Sobre la Renta de las Personas Físicas ;  - Retención Retribuciones Complementarias;2020;Enero;120197707.5
Impuestos Sobre la Renta de las Personas Físicas ;  - Retención Intereses Personas Físicas;2020;Enero;278158520.4
 Impuestos de las Empresas y Otras Corporaciones;  - Impuesto S/Renta de las Empresas Ley 11-92;2020;Enero;8751843730
 Impuestos de las Empresas y Otras Corporaciones;   - Impuesto Mínimo Anual Minero;2020;Enero;0
 Impuestos de las Empresas y Otras Corporaciones;   - Impuesto S/Utilidades Mineras (PUN);2020;Enero;1103807150
 Impuestos de las Empresas y Otras Corporaciones;   - Impuesto Sobre Ventas Zonas Francas Ley 139-11;2020;Enero;44469085.68
 Impuestos de las Empresas y Otras Corporaciones;   - Impuesto Sobre Ventas Zonas Francas Comerciales;2020;Enero;77613900.63
 Impuestos de las Empresas y Otras Corporaciones;   - Impuesto Casinos de Juego  ;2020;Enero;17770553.17
 Impuestos de las Empresas y Otras Corporaciones;   - Impuesto por Juegos Telefónicos;2020;Enero;6425313.6
 Impuestos de las Empresas y Otras Corporaciones;   - Hipodromos;2020;Enero;0
 Impuestos de las Empresas y Otras Corporaciones;   - Retención de 1%  S/ Ganancias de Capital (Ley 139-11);2020;Enero;25849224.01
 Impuestos de las Empresas y Otras Corporaciones;   - Retención Intereses Personas Jurídicas;2020;Enero;17778732.82
 Impuestos S/ los Ingresos Aplicados Sin Distinción de Persona;   - Dividendos;2020;Enero;1264294513
 Impuestos S/ los Ingresos Aplicados Sin Distinción de Persona;   - Intereses Pagados o Acreditados en el Exterior;2020;Enero;227306564.3
 Impuestos S/ los Ingresos Aplicados Sin Distinción de Persona;   - Pagos al Exterior en General;2020;Enero;1258738620
 Impuestos S/ los Ingresos Aplicados Sin Distinción de Persona;   - Imp S/Ventas de Bancas (Lotería y Deportivas);2020;Enero;18607862.01
 Impuestos S/ los Ingresos Aplicados Sin Distinción de Persona;   - Impuesto sobre Maq Tragamonedas;2020;Enero;57234592.87
 Impuestos S/ los Ingresos Aplicados Sin Distinción de Persona;   - Provisión de Bs. y Ss. Al Estado;2020;Enero;753227000.7
 Impuestos S/ los Ingresos Aplicados Sin Distinción de Persona;   - Otras Retenciones;2020;Enero;104251533.4
 Impuestos S/ los Ingresos Aplicados Sin Distinción de Persona;   - Otros;2020;Enero;101521616.8
