AÑO FISCAL;SALARIO MENSUAL;RETENCION MENSUAL
2017;34700;2.25
2017;34750;9.75
2017;34800;17.25
2017;34850;24.75
2017;34900;32.25
2017;34950;39.75
2017;35000;47.25
2017;35050;54.75
2017;35100;62.25
2017;35150;69.75
2017;35200;77.25
2017;35250;84.75
2017;35300;92.25
2017;35350;99.75
2017;35400;107.25
2017;35450;114.75
2017;35500;122.25
2017;35550;129.75
2017;35600;137.25
2017;35650;144.75
2017;35700;152.25
2017;35750;159.75
2017;35800;167.25
2017;35850;174.75
2017;35900;182.25
2017;35950;189.75
2017;36000;197.25
2017;36050;204.75
2017;36100;212.25
2017;36150;219.75
2017;36200;227.25
2017;36250;234.75
2017;36300;242.25
2017;36350;249.75
2017;36400;257.25
2017;36450;264.75
2017;36500;272.25
2017;36550;279.75
2017;36600;287.25
2017;36650;294.75
2017;36700;302.25
2017;36750;309.75
2017;36800;317.25
2017;36850;324.75
2017;36900;332.25
2017;36950;339.75
2017;37000;347.25
2017;37050;354.75
2017;37100;362.25
2017;37150;369.75
2017;37200;377.25
2017;37250;384.75
2017;37300;392.25
2017;37350;399.75
2017;37400;407.25
2017;37450;414.75
2017;37500;422.25
2017;37550;429.75
2017;37600;437.25
2017;37650;444.75
2017;37700;452.25
2017;37750;459.75
2017;37800;467.25
2017;37850;474.75
2017;37900;482.25
2017;37950;489.75
2017;38000;497.25
2017;38050;504.75
2017;38100;512.25
2017;38150;519.75
2017;38200;527.25
2017;38250;534.75
2017;38300;542.25
2017;38350;549.75
2017;38400;557.25
2017;38450;564.75
2017;38500;572.25
2017;38550;579.75
2017;38600;587.25
2017;38650;594.75
2017;38700;602.25
2017;38750;609.75
2017;38800;617.25
2017;38850;624.75
2017;38900;632.25
2017;38950;639.75
2017;39000;647.25
2017;39050;654.75
2017;39100;662.25
2017;39150;669.75
2017;39200;677.25
2017;39250;684.75
2017;39300;692.25
2017;39350;699.75
2017;39400;707.25
2017;39450;714.75
2017;39500;722.25
2017;39550;729.75
2017;39600;737.25
2017;39650;744.75
2017;39700;752.25
2017;39750;759.75
2017;39800;767.25
2017;39850;774.75
2017;39900;782.25
2017;39950;789.75
2017;40000;797.25
2017;40050;804.75
2017;40100;812.25
2017;40150;819.75
2017;40200;827.25
2017;40250;834.75
2017;40300;842.25
2017;40350;849.75
2017;40400;857.25
2017;40450;864.75
2017;40500;872.25
2017;40550;879.75
